date/yyyy-mm-dd,time/hh:mm:ss,PT102/MPa,PT101/MPa,TT009/K,TT010/K,TT008/K,TT101/K,RT101/ohm,TT102/K,RT102/ohm,Q008/W,x1,x2,impurity,err(x)
2021-01-12,16:40:57,2.018000031,6.99980011,69.2099762,96.77642059,64.75427246,64.97527313,1153.599243,67.58700562,275.5516052,77.57933044,0.995015488,0.00498449,0.0,0.000198548
2021-01-12,16:40:58,2.01779995,6.998400116,69.2099762,96.77481079,64.75642395,64.97481537,1153.612061,67.587677,275.549408,77.57933044,0.995015488,0.00498449,0.015200022,0.000198548
2021-01-12,16:40:59,2.018099976,6.997399902,69.20891571,96.77258301,64.75622559,64.97467041,1153.616333,67.58721924,275.5508423,76.95996857,0.995015488,0.00498449,0.015200022,0.000198548
2021-01-12,16:41:00,2.018300056,6.996499634,69.20891571,96.77015686,64.7587738,64.97452545,1153.620239,67.5865097,275.5533447,76.95996857,0.995015488,0.00498449,0.015200022,0.000198548
2021-01-12,16:41:01,2.018000031,6.995899963,69.20783997,96.76794434,64.76180267,64.97429657,1153.626465,67.58633423,275.5537415,76.95996857,0.995015488,0.00498449,0.015200022,0.000198548
2021-01-12,16:41:02,2.018199921,6.99489975,69.20783997,96.76624298,64.76163483,64.97473907,1153.614746,67.58538818,275.5570374,76.95996857,0.995015488,0.00498449,0.015200022,0.000198548
2021-01-12,16:41:03,2.017499924,6.993900299,69.20783997,96.76314545,64.76329041,64.97437286,1153.624634,67.58520508,275.5575562,76.95996857,0.995015488,0.00498449,0.015200022,0.000198548
2021-01-12,16:41:04,2.017300034,6.993000031,69.20783997,96.76102448,64.76417542,64.97401428,1153.634766,67.58453369,275.559906,76.09151459,0.995015488,0.00498449,0.0,0.000198548
2021-01-12,16:41:05,2.017000008,6.992299652,69.20783997,96.75934601,64.76639557,64.97389984,1153.637695,67.58440399,275.5603027,76.09151459,0.995015488,0.00498449,0.0,0.000198548
2021-01-12,16:41:06,2.016799927,6.991600037,69.20678711,96.75730133,64.76872253,64.97345734,1153.650269,67.58453369,275.5599365,76.09151459,0.995015488,0.00498449,0.0,0.000198548
2021-01-12,16:41:07,2.016600037,6.991300201,69.20678711,96.75495148,64.76895142,64.97325897,1153.655518,67.58418274,275.5610046,76.09151459,0.995015488,0.00498449,0.0,0.000198548
2021-01-12,16:41:08,2.016200066,6.990299988,69.20578003,96.75217438,64.7706604,64.97289276,1153.66626,67.58391571,275.5618286,76.09151459,0.995015488,0.00498449,0.0,0.000198594
2021-01-12,16:41:09,2.016399956,6.989499664,69.20578003,96.74938965,64.77102661,64.97285461,1153.66748,67.58374023,275.562439,75.09247589,0.995054703,0.00494527,0.0,0.000198561
2021-01-12,16:41:10,2.01590004,6.988500214,69.20578003,96.74888611,64.77301788,64.97278595,1153.665283,67.58369446,275.5626221,75.09247589,0.995054703,0.00494527,0.0,0.000198561
2021-01-12,16:41:11,2.01609993,6.987599945,69.20578003,96.74642181,64.77390289,64.97293854,1153.667114,67.58360291,275.5629578,75.09247589,0.995054703,0.00494527,0.0,0.000198646
2021-01-12,16:41:12,2.015600014,6.986599731,69.20578003,96.7443924,64.7754364,64.97310638,1153.6604,67.5834198,275.5635071,75.09247589,0.995054703,0.00494527,0.0,0.000198646
2021-01-12,16:41:13,2.015299988,6.985700226,69.20475006,96.74185181,64.77604675,64.97275543,1153.670044,67.58324432,275.56427,75.09247589,0.99505127,0.00494873,0.0,0.000198522
2021-01-12,16:41:14,2.014999962,6.984999847,69.20579529,96.73886108,64.77779388,64.97229004,1153.68335,67.58374023,275.5624084,74.35398865,0.99505127,0.00494873,0.0,0.000198522
2021-01-12,16:41:15,2.014699936,6.983799744,69.20475006,96.7375412,64.77896118,64.97237396,1153.680176,67.58356476,275.5632324,74.35398865,0.995048065,0.00495195,0.0,0.000198522
2021-01-12,16:41:16,2.014500046,6.982800293,69.20475006,96.73508453,64.77822876,64.9720459,1153.690308,67.58333588,275.5637512,74.35398865,0.995048065,0.00495195,0.0,0.000198522
2021-01-12,16:41:17,2.014699936,6.982499695,69.20475006,96.73247528,64.77940369,64.97237396,1153.680542,67.58360291,275.5630493,74.35398865,0.995048065,0.00495195,0.0,0.000198522
